id,title_no,status,type,land_district,issue_date,guarantee_status,estate_description,number_owners,spatial_extents_shared
5045081,990738,LIVE,Leasehold,Nelson,2020/12/23 15:08:13,Guarantee,"Leasehold, 1/1, Part Lot 1 Deposited Plan 14804 and Part Lot 1 Deposited Plan 5452 and Section 2 Survey Office Plan 330963, 80,382 m2",1,T
5013597,957513,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 552639 and Lot 2-3 Deposited Plan 1847, 252,444 m2",1,F
5013596,957512,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 552639, 48,188 m2",3,F
5036712,981943,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 457287, 4,426 m2",3,F
5035555,980732,LIVE,Leasehold,Nelson,2020/12/22 16:47:01,Guarantee,"Leasehold, 1/1, Lot 1 Deposited Plan 8766, 1,700 m2",1,T
5005525,948955,LIVE,Unit Title,Nelson,2020/12/22 14:26:12,Guarantee,"Stratum in Freehold, 1/1, Principal Unit 12A Deposited Plan 438056",1,T
5034170,979278,LIVE,Leasehold,Nelson,2020/12/22 13:29:45,Guarantee,"Leasehold, 1/1, Lot 1 Deposited Plan 15577 and Part Section 25 Waimea East District, 1,975 m2",1,T
5021884,966341,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 104 Deposited Plan 550903, 522 m2",1,F
5021880,966337,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 100 Deposited Plan 550903, 534 m2",1,F
5007240,950766,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 550903, 310 m2",1,F
5021879,966336,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 88 Deposited Plan 550903, 952 m2",1,F
5021883,966340,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 103 Deposited Plan 550903, 522 m2",1,F
5007239,950765,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 550903, 125 m2",1,F
5021882,966339,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 102 Deposited Plan 550903, 543 m2",1,F
5021885,966342,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 105 Deposited Plan 550903, 787 m2",1,F
5021881,966338,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 101 Deposited Plan 550903, 524 m2",2,F
4967258,908643,LIVE,Gazette Notice,Nelson,2020/12/16 13:15:28,Guarantee,"Fee Simple, 1/1, Crown Land Block VI (under action) Waimea Survey District and Crown Land Block VI (under action) Waimea Survey District, 62,937 m2",1,F
5007930,951488,LIVE,Freehold,Nelson,2020/12/14 09:32:45,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 551012, 3,045 m2",3,F
5007931,951489,LIVE,Freehold,Nelson,2020/12/14 09:32:45,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 551012, 57,198 m2",2,F
5006304,949784,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 10 Deposited Plan 550626, 723 m2",1,F
5006311,949791,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 106 Deposited Plan 550626, 322 m2",1,F
5033732,978817,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 109 Deposited Plan 550626, 73 m2",1,F
5006302,949782,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 8 Deposited Plan 550626, 764 m2",1,F
5006310,949790,LIVE,Freehold,Nelson,2020/12/07 16:05:46,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 18927 and Lot 36 Deposited Plan 353023 and Lot 108 Deposited Plan 550626, 1,077,636 m2",1,F
