WKT,id,title_no,status,type,land_district,issue_date,guarantee_status,estate_description,number_owners,spatial_extents_shared
"POLYGON ((392705.431168127 795233.02360993,392702.219309987 795235.199018988,392706.177301116 795250.162798458,392713.837621563 795260.93961095,392774.971888693 795346.92420289,392813.680303434 795401.335780438,392814.747838992 795411.271165737,392832.727419188 795435.916507167,392836.826192558 795433.025588558,392844.438246506 795443.611565994,392871.131287254 795423.295283245,392888.23944139 795410.273586694,392901.671746828 795400.050673777,392905.357303282 795397.262965227,392922.424757061 795384.354063042,392938.534117747 795372.164225883,392954.021950994 795360.447599476,392971.248452137 795347.41287201,392988.311492284 795334.496402603,393003.262893615 795323.184522808,393019.05356945 795311.238532043,393036.797947927 795297.811726258,393053.148519741 795285.440470791,393072.685907007 795270.656658843,393089.431575949 795257.983980996,393106.816781393 795244.832457767,393128.348162402 795228.538114134,393066.183241095 795176.612105859,392927.28339662 795060.97934517,392881.279197511 795110.409880379,392835.987480168 795144.266488159,392730.383056164 795216.074923009,392705.431168127 795233.02360993))",5045081,990738,LIVE,Leasehold,Nelson,2020/12/23 15:08:13,Guarantee,"Leasehold, 1/1, Part Lot 1 Deposited Plan 14804 and Part Lot 1 Deposited Plan 5452 and Section 2 Survey Office Plan 330963, 80,382 m2",1,T
"MULTIPOLYGON (((386913.008839272 791278.36710098,386929.200507945 791259.019809295,386997.502664633 791177.344111672,387084.042964762 791249.512556923,387070.580035285 791265.63132072,387177.388885011 791354.686387533,387447.791561372 791580.187377865,387496.133717467 791522.232153432,387553.712244758 791453.20486753,387321.302865527 791259.40260495,387406.947118832 791156.701721842,387450.885604853 791102.468937782,387302.696235549 790978.411278915,387219.974056589 790909.528437008,387104.232057319 790813.081720009,386797.167801898 791181.669181766,386913.008839272 791278.36710098)),((387440.712374009 790812.461353786,387357.84482388 790743.315119522,387232.819809066 790894.054314839,387315.565604779 790962.951857937,387440.712374009 790812.461353786)))",5013597,957513,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 552639 and Lot 2-3 Deposited Plan 1847, 252,444 m2",1,F
"POLYGON ((386997.502664633 791177.344111672,386929.200507945 791259.019809295,386913.008839272 791278.36710098,386806.051834244 791406.685984522,386800.838578182 791412.586812072,386807.492768747 791418.126045905,386887.233101334 791484.866515288,387015.663147939 791331.105623771,387118.647863098 791416.985750889,387122.491803068 791420.170775007,387174.092033172 791358.421466762,387216.337467747 791393.657952481,387444.603338675 791584.035682158,387447.791561372 791580.187377865,387177.388885011 791354.686387533,387070.580035285 791265.63132072,387084.042964762 791249.512556923,386997.502664633 791177.344111672))",5013596,957512,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 552639, 48,188 m2",3,F
"POLYGON ((387164.728987375 791455.4038443,387216.337467747 791393.657952481,387174.092033172 791358.421466762,387122.491803068 791420.170775007,387122.749467741 791420.382248306,387164.728987375 791455.4038443))",5036712,981943,LIVE,Freehold,Nelson,2020/12/23 11:42:10,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 457287, 4,426 m2",3,F
"POLYGON ((395283.865159353 798207.969271237,395305.061880016 798238.139370176,395317.533141022 798229.381099855,395336.788196223 798215.857162889,395331.450809905 798185.682548567,395321.465958081 798181.557676533,395296.336403852 798199.209193287,395283.865159353 798207.969271237))",5035555,980732,LIVE,Leasehold,Nelson,2020/12/22 16:47:01,Guarantee,"Leasehold, 1/1, Lot 1 Deposited Plan 8766, 1,700 m2",1,T
"POLYGON ((393519.469045831 794706.551753608,393521.571419004 794708.687839966,393523.675183237 794710.823926943,393509.194868876 794725.078535489,393507.056614689 794727.181216301,393496.010578847 794738.055239027,393497.563913164 794739.3486376,393548.589835503 794781.915380271,393619.729297734 794841.245488527,393622.723094788 794843.743273489,393628.009318422 794848.15144905,393640.257324956 794833.470769191,393643.396148707 794829.708574821,393656.100875769 794814.480363059,393690.929228316 794843.530724745,393735.830375128 794801.077939487,393720.398527913 794784.755424482,393733.115603127 794772.734884945,393742.698773507 794763.673223089,393730.656151065 794750.935339356,393721.441674339 794759.647464431,393708.404794718 794771.971267741,393694.444779508 794762.613447215,393689.460458174 794759.273614469,393676.244048951 794778.997524526,393670.256628187 794773.815049401,393661.501409157 794766.23126529,393622.080121451 794732.10867143,393584.430020568 794699.514514802,393542.733161838 794714.507722361,393531.513075156 794703.106670015,393529.409310865 794700.97058528,393527.306947648 794698.832657574,393574.339540024 794652.530812328,393560.158872916 794623.364940154,393552.663717374 794600.357713357,393548.56639305 794578.897233763,393546.940654175 794557.039129999,393547.770731283 794535.235038523,393551.115518445 794513.144422281,393559.827073854 794512.843025258,393570.034174336 794514.442083429,393584.303553311 794518.80085428,393585.812130682 794513.856306036,393587.123392272 794509.55387814,393589.265891054 794502.533061574,393569.055278933 794496.368012098,393563.805371906 794495.400836638,393555.235433311 794494.950852462,393556.720215354 794474.374543684,393557.957435655 794457.590734182,393556.284376171 794446.607243022,393552.340455477 794436.325114202,393540.999336485 794424.983180604,393527.608842464 794439.862603344,393503.734313637 794466.390253716,393480.721414516 794491.96162506,393468.179901001 794505.899530274,393450.720318019 794525.300845309,393434.157371937 794543.707095395,393420.107149415 794559.326116202,393407.65619945 794573.154792401,393406.05268206 794574.943251017,393403.979843947 794577.242171504,393391.327693703 794591.30386333,393377.158566908 794607.043003703,393375.145860078 794609.182776925,393360.775432905 794625.253038657,393368.815133748 794631.959169841,393398.596734236 794656.798997175,393400.902977541 794658.720591183,393401.015917178 794658.816938584,393467.244809385 794714.055233893,393491.431277481 794686.161950273,393493.398035767 794683.896228288,393519.469045831 794706.551753608))",5005525,948955,LIVE,Unit Title,Nelson,2020/12/22 14:26:12,Guarantee,"Stratum in Freehold, 1/1, Principal Unit 12A Deposited Plan 438056",1,T
"POLYGON ((390104.529419112 793016.791297309,390107.372157133 793019.16446139,390133.33222028 792988.123152726,390130.497864005 792985.744457041,390101.831102532 792961.694117336,390099.065044837 792959.376585696,390075.949884324 792987.080579456,390076.532716481 792993.428493613,390104.529419112 793016.791297309))",5034170,979278,LIVE,Leasehold,Nelson,2020/12/22 13:29:45,Guarantee,"Leasehold, 1/1, Lot 1 Deposited Plan 15577 and Part Section 25 Waimea East District, 1,975 m2",1,T
"POLYGON ((389583.991243105 791001.781850814,389597.779359204 791013.355687201,389599.707338005 791011.057632362,389616.408061542 790991.149789844,389602.600421652 790979.579669873,389590.855127998 790993.597249436,389583.991243105 791001.781850814))",5021884,966341,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 104 Deposited Plan 550903, 522 m2",1,F
"POLYGON ((389646.456095283 791040.49272036,389669.894002788 791060.161713756,389677.737899949 791047.376800988,389676.765462832 791041.722411031,389658.370352859 791026.310555897,389646.456095283 791040.49272036))",5021880,966337,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 100 Deposited Plan 550903, 534 m2",1,F
"POLYGON ((389473.844475559 791065.621838565,389478.849981032 791068.577768171,389498.244760888 791040.674009946,389491.32544168 791035.022091974,389489.391868009 791033.45333087,389481.258243302 791048.653210208,389473.844475559 791065.621838565))",5007240,950766,LIVE,Freehold,Nelson,2020/12/17 15:48:18,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 550903, 310 m2",1,F
