WKT,id,title_no,status,type,land_district,issue_date,guarantee_status,estate_description,number_owners,spatial_extents_shared
"POLYGON ((397171.357791821 796893.450277442,397166.649222617 796887.44936121,397154.237593326 796880.220074818,397167.21865301 796866.124250635,397166.173567062 796832.900308698,397165.624840219 796815.448903595,397123.827830431 796775.347309425,397133.465753637 796761.420507869,397115.234551946 796773.663192207,397102.489718465 796787.085253244,397089.970662862 796818.695277862,397077.45674655 796837.229835179,397067.031118583 796851.813339601,397063.562283239 796862.745775148,397051.576373756 796866.222648244,397026.020782011 796854.848979419,396978.411486746 796896.976535299,396921.687359307 797030.215198102,396917.623756914 797034.169058451,396908.896062772 797042.67993796,396905.916076513 797045.595832525,397003.457127549 797150.134656574,396890.804637835 797228.212321853,396947.609644066 797312.9768081,396982.520334373 797355.51798369,396984.805683286 797358.308384879,397013.439640336 797332.152682262,397088.218488806 797356.521745952,397143.622180304 797374.574263213,397247.72180595 797295.767578683,397273.223464386 797329.450488919,397301.636089655 797294.78085295,397301.730401469 797292.646686905,397301.918248357 797290.516264955,397302.198212054 797288.396972036,397302.57169817 797286.292529161,397303.035907871 797284.206633566,397303.592247464 797282.141129346,397304.237908371 797280.103423118,397304.971499526 797278.095369046,397320.409820305 797237.286630934,397321.875536895 797233.403779205,397314.669946806 797218.304407681,397300.071473481 797196.525743134,397291.916862679 797173.666619085,397292.590412671 797167.947293979,397294.148947146 797154.718805769,397292.048945408 797152.60603436,397283.579171426 797144.0790405,397271.601524748 797132.015323288,397264.78961962 797102.500493463,397258.26901862 797074.244439101,397251.974237793 797046.96023576,397238.599552813 797034.912581834,397228.626997641 797047.440036541,397225.207509542 797042.8538082,397214.557037821 797028.578557492,397205.629590442 797016.610297897,397204.230273146 797014.734704765,397203.615021865 797013.908916561,397182.086881851 796985.056541473,397166.528934632 796959.712209642,397155.917957034 796941.403562051,397146.319726598 796924.846342105,397159.321271167 796919.289193956,397178.824243451 796910.948791588,397171.357791821 796893.450277442))",4987556,930087,LIVE,Freehold,Nelson,2021/09/10 10:48:17,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 546389, 149,346 m2",1,F
"POLYGON ((391332.07019462 791906.925906103,391332.663830782 791903.905760988,391332.109448257 791900.924959882,391329.971646623 791895.806212806,391332.561942603 791889.945295528,391334.377756366 791886.693381787,391337.095426574 791882.787285188,391333.621478415 791879.897400774,391332.753346064 791879.172625318,391306.886158075 791910.144317372,391303.093641497 791914.687714468,391304.042589439 791915.488489203,391318.080504409 791927.209247522,391318.536182441 791927.58184623,391321.785735695 791930.330788606,391325.340236302 791926.529350099,391331.321434679 791919.539664892,391330.62265514 791918.326412836,391327.475447575 791912.806640612,391332.07019462 791906.925906103))",5026727,971478,LIVE,Freehold,Nelson,2021/09/10 08:37:18,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 556389, 741 m2",2,F
"POLYGON ((391338.356061704 791915.792352669,391346.087204499 791922.165358182,391347.985184821 791923.70581289,391363.638434026 791904.962585662,391360.583919181 791902.411959914,391348.195861506 791892.068549446,391339.315226022 791884.648348004,391337.095426574 791882.787285188,391334.377756366 791886.693381787,391332.561942603 791889.945295528,391335.266136497 791897.330358546,391336.869364388 791907.409196955,391336.857160333 791909.458254291,391337.421587825 791913.379374402,391337.525869444 791913.658994479,391338.356061704 791915.792352669))",5026729,971480,LIVE,Freehold,Nelson,2021/09/10 08:37:18,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 556389, 645 m2",2,F
"POLYGON ((391332.07019462 791906.925906103,391327.475447575 791912.806640612,391330.62265514 791918.326412836,391331.321434679 791919.539664892,391325.340236302 791926.529350099,391321.785735695 791930.330788606,391332.117067051 791938.929976737,391333.978776035 791940.477799506,391347.985184821 791923.70581289,391346.087204499 791922.165358182,391338.356061704 791915.792352669,391337.525869444 791913.658994479,391337.421587825 791913.379374402,391336.857160333 791909.458254291,391336.869364388 791907.409196955,391335.266136497 791897.330358546,391332.561942603 791889.945295528,391329.971646623 791895.806212806,391332.109448257 791900.924959882,391332.663830782 791903.905760988,391332.07019462 791906.925906103))",5026728,971479,LIVE,Freehold,Nelson,2021/09/10 08:37:18,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 556389, 475 m2",2,F
"POLYGON ((384730.979242346 794296.250786745,384765.098995324 794321.053803743,384770.340207985 794317.577486057,384774.423067924 794314.868765503,384812.240409148 794289.763048603,384779.866258983 794235.632758617,384774.734011526 794224.434473276,384781.598934085 794220.467329943,384778.865526352 794215.125132202,384600.131945305 794317.827632996,384603.165592144 794323.007641115,384709.226745713 794262.072355992,384730.979242346 794296.250786745))",5044875,990529,LIVE,Freehold,Nelson,2021/09/06 11:55:15,Guarantee,"Fee Simple, 1/1, Lot 1 Deposited Plan 560740, 6,616 m2",1,F
"POLYGON ((384730.979242346 794296.250786745,384709.226745713 794262.072355992,384603.165592144 794323.007641115,384703.775026378 794494.746118661,384705.635352693 794497.9208196,384711.145426867 794507.326312814,384715.028768318 794513.953704371,384720.333097031 794523.007050237,384756.752445403 794502.413313715,384759.395657385 794500.904724064,384761.368241662 794499.803807843,385136.172148293 794288.713514743,385131.621361331 794265.82938613,385017.456195745 794241.148482856,384977.85874317 794217.982721997,384922.483927283 794153.511982479,384787.775847387 794232.541469005,384781.598934085 794220.467329943,384774.734011526 794224.434473276,384779.866258983 794235.632758617,384812.240409148 794289.763048603,384774.423067924 794314.868765503,384770.340207985 794317.577486057,384765.098995324 794321.053803743,384730.979242346 794296.250786745))",5044876,990530,LIVE,Freehold,Nelson,2021/09/06 11:55:15,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 560740, 87,465 m2",1,F
"POLYGON ((393419.092939562 795404.893100241,393419.511214097 795405.321060499,393427.77632155 795413.785768635,393427.978501987 795413.980306701,393429.87885969 795415.927431941,393430.500702695 795416.562880427,393440.699508712 795407.085715766,393440.134839883 795406.503984007,393438.036481371 795404.360483814,393429.058918187 795395.165844504,393419.092939562 795404.893100241))",5054333,1000471,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 3 Deposited Plan 562707, 229 m2",1,F
"POLYGON ((393440.699508712 795407.085715766,393446.603403907 795401.602817892,393450.899673092 795397.614079828,393450.389376763 795397.091637331,393448.293817957 795394.944433183,393447.895060398 795394.544257206,393439.434751439 795385.879487243,393439.015088569 795385.449683267,393429.058918187 795395.165844504,393438.036481371 795404.360483814,393440.134839883 795406.503984007,393440.699508712 795407.085715766))",5054334,1000472,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 4 Deposited Plan 562707, 234 m2",1,F
"POLYGON ((393409.613008937 795414.150621133,393410.213626427 795413.564401896,393419.092939562 795404.893100241,393429.058918187 795395.165844504,393439.015088569 795385.449683267,393439.434751439 795385.879487243,393447.895060398 795394.544257206,393448.293817957 795394.944433183,393450.389376763 795397.091637331,393450.899673092 795397.614079828,393461.752078008 795387.535895111,393461.311512349 795387.070889772,393459.246676067 795384.894107766,393448.96018942 795374.050926306,393446.690414203 795371.655533959,393439.797382453 795378.381412604,393434.816517664 795383.239493006,393422.420181007 795395.337534506,393393.699638804 795423.365267313,393397.187259425 795426.270815651,393398.625939662 795424.86721225,393399.241920561 795424.266192462,393408.066774981 795415.659636271,393409.613008937 795414.150621133))",5054335,1000473,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 5 Deposited Plan 562707, 589 m2",1,F
"POLYGON ((393409.613008937 795414.150621133,393417.996614791 795422.752429298,393420.093572718 795424.897788654,393420.771178147 795425.592527922,393429.015999149 795417.933130489,393430.500702695 795416.562880427,393429.87885969 795415.927431941,393427.978501987 795413.980306701,393427.77632155 795413.785768635,393419.511214097 795405.321060499,393419.092939562 795404.893100241,393410.213626427 795413.564401896,393409.613008937 795414.150621133))",5054332,1000470,LIVE,Freehold,Nelson,2021/08/31 13:36:27,Guarantee,"Fee Simple, 1/1, Lot 2 Deposited Plan 562707, 214 m2",1,F
